"""input"" value should be specified","""input"" value should be specified"
"The Product does not exit.","The Product does not exit."
"The current customer isn't authorized.","The current customer isn't authorized."
"No find your function","No find your function"
"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"reviewId value is not null","reviewId value is not null"
"productId value is not null","productId value is not null"
"No element found matching the given condition.","No element found matching the given condition."
"Action value is not null","Action value is not null"
"customerId value is not null","customerId value is not null"
"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
